ID;Shortlist;NAZEV;NAZEV CELY;MISTO;ADRESA;STAT;STATUS;ROK;WWW;FB;LOGO;POZNAMKA;PIVO;FOTO;GPS;Y;X;VISITED;KRAJ;OKRES;ORP;OBEC
18;Pivovar (Brewery);Beznoska;Minipivovar Beznoska;Praha - Prosek;Klíčovská 805/11, Praha 9 - Prosek ;Czechia;restaurační pivovar (brewpub);2013;http://skolicka.cz;https://www.facebook.com/minipivovarbeznoska;https://goo.gl/Q6LVt2;;Bejl, Belma, Beznoska, Cittový Sosáček, Cykloejl, Čertik Bertik, GamBez, Hejhula, Kafař, Klíčák, Koloušek, Likvidátor, MagBez, Sedmý smysl, Uzený knír, Vídeňák;;N 50°7.05787', E 14°30.42847';50.117631;14.507141;YES;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
19;Pivovar (Brewery);Zašová;Pivovar Zašová;Zašová;Zašová 98, Zašová;Czechia;minipivovar (craftbrewery);2004;http://www.pivovarzasova.cz;https://www.facebook.com/PivovarZasova;https://goo.gl/Aj5Dcd;"Nástupce pivovaru ""Valašský pivovar BON Zašová""";(Bon), Portáš;https://flic.kr/s/aHskufKEcZ;N 49°28.41827', E 18°2.77570';49.4736378;18.0462617;NO;Zlínský kraj;Vsetín;Valašské Meziříčí;Zašová
20;Pivovar (Brewery);U Bezoušků;Rodinný pivovar U Bezoušků;Průhonice;Květnové náměstí 5, Průhonice;Czechia;uzavřený pivovar (closed brewery);1994 / 2014;http://www.ubezousku.cz;;https://goo.gl/syQjmF;;Bezouškovská;https://www.facebook.com/media/set/?set=a.406423616161352.1073741860.282498931887155&type=1&l=5f1eabe5f1;N 50°0.09012', E 14°33.64848';50.001502;14.560808;YES;Středočeský kraj;Praha-západ;Černošice;Průhonice
21;Pivovar (Brewery);Brabčák;Minipivovar Brabčák;Vratimov;K Sokolovně 183/3, Vratimov;Czechia;restaurační pivovar (brewpub);2012;http://www.hostinecvedvore.cz;https://www.facebook.com/lukas.brabec.543;https://goo.gl/dgipVu;;Brabčák;https://flic.kr/s/aHskui4PGn;N 49°46.36752', E 18°18.39067';49.772792;18.306511;YES;Moravskoslezský kraj;Ostrava-město;Ostrava;Vratimov
22;Pivovar (Brewery);Kolštejn;Minipivovar Kolštejn;Branná;Branná 56, Branná;Czechia;restaurační pivovar (brewpub);2013;http://www.pivovarkolstejn.cz;https://www.facebook.com/minipivovarkolstejn;https://goo.gl/D13Sjy;;Bran, Dolmen, Menhir, Parus, Raven, Vogtey;https://flic.kr/s/aHsmb9Hj6G;N 50°9.15433', E 17°0.65928';50.1525722;17.0109881;YES;Olomoucký kraj;Šumperk;Šumperk;Branná
23;Pivovar (Brewery);Břeclav;Zámecký pivovar Břeclav;Břeclav;Pod Zámkem 625/8, Břeclav;Czechia;průmyslový pivovar (industrial brewery);2013;http://www.pivovarbreclav.cz;https://www.facebook.com/pivovarbreclav;https://goo.gl/ikZ1JE;Letní výčep před pivovarem;Beran, Delegát, Kanec, Pivín, Podlužan;;N 48°45.65718', E 16°52.50600';48.7609531;16.8751;NO;Jihomoravský kraj;Břeclav;Břeclav;Břeclav
24;Pivovar (Brewery);Břevnovský;Břevnovský klášterní pivovar sv. Vojtěcha;Praha - Břevnov;Markétská 1/28, Praha - Břevnov;Czechia;minipivovar (craftbrewery);2012;http://brevnovskypivovar.cz;https://www.facebook.com/Brevnovskypivovar;https://goo.gl/iY32NX;;Benedict, Gočár, Karel Egon II., Kotěra, Ovčár;;N 50°5.05158', E 14°21.45698';50.0841931;14.3576164;YES;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
25;Pivovar (Brewery);Braník;Pivovar Braník;Praha - Braník;Údolní 212, Praha 4 - Braník;Czechia;uzavřený pivovar (closed brewery);1899 / 2007;http://www.staropramen.cz;;https://goo.gl/NyXAcH;Vaří se v pivovaru Staropramen;Braník;;N 50°1.76742', E 14°24.61602';50.029457;14.410267;NO;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
26;Pivovar (Brewery);Velké Březno;Pivovar Velké Březno;Velké Březno;Pivovarská 116, Velké Březno;Czechia;průmyslový pivovar (industrial brewery);1753;http://www.breznak.cz;https://www.facebook.com/pivobreznak;https://goo.gl/AzaEHg;;Březňák, Dačický, Louny, Zlatopramen;;N 50°39.87888', E 14°8.33610';50.664648;14.138935;NO;Ústecký kraj;Ústí nad Labem;Ústí nad Labem;Velké Březno
27;Pivovar (Brewery);Budějovický Budvar;Budějovický Budvar;České Budějovice;K. Světlé 512/4, České Budějovice;Czechia;průmyslový pivovar (industrial brewery);1895;http://www.budejovickybudvar.cz;https://www.facebook.com/BudejovickyBudvar;https://goo.gl/ZUT78A;;Budvar B, Budweiser Budvar, Pardál;;N 48°59.61410', E 14°28.57028';48.9935683;14.4761714;NO;Jihočeský kraj;České Budějovice;České Budějovice;České Budějovice
28;Pivovar (Brewery);Černá Hora;Pivovar Černá Hora;Černá Hora;nám. U Pivovaru 3, Černá Hora;Czechia;průmyslový pivovar (industrial brewery);1530;http://www.pivovarcernahora.cz;https://www.facebook.com/cernahorapivovar;https://goo.gl/T8zkvN;;Forman, Granát, Kamelot, Kern, Kvasar, Matouš, Páter, Pepova 11, Tas, Velen, Velikonoční Krasličák;;N 49°24.88603', E 16°34.89927';49.4147672;16.5816544;NO;Jihomoravský kraj;Blansko;Blansko;Černá Hora
29;Pivovar (Brewery);Černý orel;Pivovar Černý orel;Kroměříž;Velké náměstí 24/9, Kroměříž;Czechia;restaurační pivovar (brewpub);2009;http://www.pivovar-kromeriz.cz;https://www.facebook.com/cerny.orel;https://goo.gl/kVNjV5;;Černý orel;;N 49°17.90413', E 17°23.53998';49.2984022;17.3923331;YES;Zlínský kraj;Kroměříž;Kroměříž;Kroměříž
30;Pivovar (Brewery);Bizon;Pivovar Bizon;Čižice;Čižice 76, Čižice;Czechia;restaurační pivovar (brewpub);2011;http://www.ubizona.eu;https://www.facebook.com/HostinskyPivovarUBizonaCizice;https://goo.gl/SArDvF;;Aparát, Bizon, Buližník, Černá paní, Hrobník, Kameník, Karolína Světlá, Klíšťák, Mnich, Půta Švihovský, Zlaťák;;N 49°38.98347', E 13°23.95292';49.6497244;13.3992153;NO;Plzeňský kraj;Plzeň-jih;Přeštice;Čižice
31;Pivovar (Brewery);Kutná Hora;Měšťanský pivovar Kutná Hora;Kutná Hora;U Lorce 11, Kutná Hora - Šipší;Czechia;průmyslový pivovar (industrial brewery);2017;http://pivokutnahora.cz;https://www.facebook.com/pivokutnahora.cz;https://goo.gl/zMEsCx;;Bronzová, Stříbrná, Zlatá;;N 49°57.40200', E 15°16.25500';49.956696;15.270909;NO;Středočeský kraj;Kutná Hora;Kutná Hora;Kutná Hora
32;Pivovar (Brewery);Dalešice;Pivovar Dalešice;Dalešice;Dalešice 71, Dalešice;Czechia;restaurační pivovar (brewpub);2002;http://www.pivovar-dalesice.cz;https://www.facebook.com/pivovardalesice;https://goo.gl/7DF9WP;;Dalešická, Dalešické májové, Dreher, Fledermaus, Kouřící králík, MedMen, Osvald;https://flic.kr/s/aHsmm6iGEN;N 49°7.85280', E 16°4.79363';49.13088;16.079894;YES;Kraj Vysočina;Třebíč;Třebíč;Dalešice
33;Pivovar (Brewery);Dětenice;Zámecký pivovar Dětenice;Dětenice;Dětenice 1, Dětenice;Czechia;restaurační pivovar (brewpub);2003;http://www.detenice.cz;https://www.facebook.com/zamek.detenice;https://goo.gl/nXv9Sb;;Dětenické;;N 50°22.13802', E 15°10.28993';50.3689669;15.1714989;YES;Královéhradecký kraj;Jičín;Jičín;Dětenice
34;Pivovar (Brewery);Modrá Hvězda;Pivovar Modrá Hvězda;Dobřany;náměstí T. G. Masaryka 159, Dobřany;Czechia;restaurační pivovar (brewpub);1998;http://pivovarmodrahvezda.cz;https://www.facebook.com/pivovarmodrahvezda;https://goo.gl/jPoeUx;;Anděl, Dobřanské, Dobřanská Hvězda, Dragoun, Sekáč;;N 49°39.32565', E 13°17.40492';49.6554275;13.2900819;YES;Plzeňský kraj;Plzeň-jih;Stod;Dobřany
35;Pivovar (Brewery);Kutná Hora;Pivovar Kutná Hora;Kutná Hora;U Lorce 11, Kutná Hora - Šipší;Czechia;uzavřený pivovar (closed brewery);1573 / 2009;;;https://goo.gl/wJcYNb;;Dačický, Lorec;;N 49°57.40488', E 15°16.25790';49.9567481;15.270965;NO;Středočeský kraj;Kutná Hora;Kutná Hora;Kutná Hora
36;Pivovar (Brewery);Dudák;Dudák - Měšťanský pivovar Strakonice;Strakonice;Podskalská 324, Strakonice;Czechia;průmyslový pivovar (industrial brewery);1649;http://www.pivovar-strakonice.cz;https://www.facebook.com/dudak.strakonice;https://goo.gl/RrXWiK;;Blateňák, Dudák, Klostermann, Královák, Král Šumavy, Nektar, Otavský zlatý, Sklepák, Švanda, Velkopřevor;;N 49°15.57503', E 13°53.85078';49.2595839;13.8975131;NO;Jihočeský kraj;Strakonice;Strakonice;Strakonice
37;Pivovar (Brewery);Excelent;Hostinský pivovar Excelent;Rýmařov;Pivovarská 14/16, Rýmařov;Czechia;restaurační pivovar (brewpub);1995 - 2005, 2008;http://www.hotelexcelent.cz;https://www.facebook.com/hotelexcelent;https://goo.gl/Bt9ohY;;Excelent, Rýmařovské;;N 49°55.85228', E 17°16.18775';49.9308714;17.2697958;YES;Moravskoslezský kraj;Bruntál;Rýmařov;Rýmařov
38;Pivovar (Brewery);Faltus;Pivovar Faltus;Česká Třebová;Moravská 207, Česká Třebová;Czechia;restaurační pivovar (brewpub);2012;http://www.pivovar-faltus.cz;https://www.facebook.com/RestauracePivovarFaltus;https://goo.gl/r8z3eD;;Českotřebovská pšenka, Kohout, Milota, Miroslav, Viktor, Vladimír;https://flic.kr/s/aHsmeCsPuG;N 49°54.04982', E 16°26.95155';49.9008303;16.4491925;YES;Pardubický kraj;Ústí nad Orlicí;Česká Třebová;Česká Třebová
39;Pivovar (Brewery);Ferdinand;Pivovar Ferdinand;Benešov;Táborská 306, Benešov;Czechia;průmyslový pivovar (industrial brewery);1897;http://www.pivovarferdinand.cz;https://www.facebook.com/PivovarFerdinand;https://goo.gl/YiH5qi;;d´Este, Ferdinand, Max, Sedm Kulí;;N 49°46.80565', E 14°41.42830';49.7800942;14.6904717;NO;Středočeský kraj;Benešov;Benešov;Benešov
40;Pivovar (Brewery);Eggenberg;Pivovar Eggenberg;Český Krumlov;Pivovarská 27, Český Krumlov - Latrán;Czechia;uzavřený pivovar (closed brewery);1560 / 2014;http://www.eggenberg.cz;;https://goo.gl/8E75Ph;;Eggenberg, Kristián, Petr Vok;;N 48°48.73943', E 14°19.19142';48.812324;14.319857;YES;Jihočeský kraj;Český Krumlov;Český Krumlov;Český Krumlov
41;Pivovar (Brewery);U Fleků;Pivovar U Fleků;Praha - Nové Město;Křemencova 1651/11, Praha 1 - Nové Město;Czechia;restaurační pivovar (brewpub);1499;http://www.ufleku.cz;https://www.facebook.com/PivovararestauraceUFlekuOFFICIAL;https://goo.gl/2etRuP;;Flekovský;;N 50°4.73412', E 14°25.01485';50.0789019;14.4169142;NO;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
42;Pivovar (Brewery);Avar;Pivovar Avar;Hlučín;Pode zdí 148/13, Hlučín;Czechia;restaurační pivovar (brewpub);1993;http://www.pivovaravar.cz;;https://goo.gl/qLigNZ;Původní název - Hlučínský starý pivovar;Avar;;N 49°53.86927', E 18°11.24257';49.897821;18.187376;YES;Moravskoslezský kraj;Opava;Hlučín;Hlučín
43;Pivovar (Brewery);Garage;Pivovar Garage;Ostrava - Martinov;Martinovská 3262/50, Ostrava - Martinov;Czechia;restaurační pivovar (brewpub);2013;https://www.garageclub.cz;https://www.facebook.com/GarageClubMartinov;https://goo.gl/NZ8k7f;;Garážmistr;;N 49°51.25812', E 18°10.99782';49.854302;18.183297;YES;Moravskoslezský kraj;Ostrava-město;Ostrava;Ostrava
44;Pivovar (Brewery);Glokner;Hostinský pivovar Glokner;Svachova Lhotka;Svachova Lhotka 1, Mirkovice - Svachova Lhotka;Czechia;restaurační pivovar (brewpub);2013;http://www.svachovka.cz;https://www.facebook.com/gloknerpivovar;https://goo.gl/FpqAqG;;Glok;;N 48°49.62797', E 14°21.80612';48.8271328;14.3634353;NO;Jihočeský kraj;Český Krumlov;Český Krumlov;Mirkovice
45;Pivovar (Brewery);Jelínkova vila;Minipivovar Jelínkova vila;Velké Meziříčí;Třebíčská 342/10, Velké Meziříčí;Czechia;restaurační pivovar (brewpub);2004;http://www.jelinkovavila.cz;https://www.facebook.com/HotelPivovarJelinkovaVila;https://goo.gl/BmJ56Q;;Harrach;;N 49°21.28422', E 16°0.60498';49.354737;16.010083;YES;Kraj Vysočina;Žďár nad Sázavou;Velké Meziříčí;Velké Meziříčí
46;Pivovar (Brewery);Velký Rybník;Domácí pivovárek Velký Rybník;Hroznětín - Velký Rybník;Velký Rybník 9, Hroznětín - Velký Rybník;Czechia;restaurační pivovar (brewpub);2006;http://www.pivohastrman.cz;;https://goo.gl/hQq3ad;;Aloe bier, Hastrmánek, Hastrmanská, Sklepní pivo, Velkorybnický;;N 50°17.27352', E 12°51.94163';50.287892;12.865694;YES;Karlovarský kraj;Karlovy Vary;Ostrov;Hroznětín
47;Pivovar (Brewery);Forman;Pivovar Velichovský Forman;Velichov;Velichov 84, Velichov;Czechia;uzavřený pivovar (closed brewery);2006 / 2014;;;https://goo.gl/SJxfWD;;Velichovský Forman;;N 50°17.02648', E 13°0.59295';50.2837747;13.0098825;NO;Karlovarský kraj;Karlovy Vary;Ostrov;Velichov
48;Pivovar (Brewery);Hendrych;Rodinný pivovar Hendrych;Vrchlabí;Horská 192, Vrchlabí;Czechia;minipivovar s výčepem (craftbrewery with a bar);2012;http://www.pivohendrych.cz;https://www.facebook.com/PivoHendrych;https://goo.gl/c8Jx44;;Hendrych H;;N 50°39.29412', E 15°36.19608';50.654902;15.603268;NO;Královéhradecký kraj;Trutnov;Vrchlabí;Vrchlabí
49;Pivovar (Brewery);Herold;Pivovar Herold;Březnice;Zámecký obvod 31, Březnice u Příbrami;Czechia;minipivovar (craftbrewery);1506;http://www.pivovar-herold.cz;https://www.facebook.com/pivovarherold;https://goo.gl/3oZBg4;;Herold;;N 49°33.44868', E 13°57.51205';49.5574781;13.9585342;NO;Středočeský kraj;Příbram;Příbram;Březnice
50;Pivovar (Brewery);Holba;Pivovar Holba;Hanušovice;Pivovarská 261, Hanušovice;Czechia;průmyslový pivovar (industrial brewery);1874;http://www.holba.cz;https://www.facebook.com/PivovarHolba;https://goo.gl/DerBeQ;;Holba, Šerák;;N 50°4.19550', E 16°55.66147';50.069925;16.927691;NO;Olomoucký kraj;Šumperk;Šumperk;Hanušovice
51;Pivovar (Brewery);Hostivar;Pivovar Hostivar 1;Praha - Hostivař;Lochotínská 656, Praha 15;Czechia;restaurační pivovar (brewpub);2013;http://www.pivovar-hostivar.cz;https://www.facebook.com/Hostivar;https://goo.gl/AzP9fe;;Hostivar;;N 50°2.78213', E 14°32.96112';50.0463689;14.5493519;YES;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
52;Pivovar (Brewery);Hostivar H2;Pivovar Hostivar H2;Praha - Hostivař;Hornoměcholupská 750/115, Praha 15;Czechia;restaurační pivovar (brewpub);2017;http://www.pivovar-hostivar.cz;https://www.facebook.com/Hostivar;https://goo.gl/SCkDX8;;Hostivar;;N 50°2.96468', E 14°33.70832';50.0494114;14.5618053;NO;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
53;Pivovar (Brewery);Hubertus;Pivovar Hubertus;Kácov;V Podskalí 6, Kácov;Czechia;průmyslový pivovar (industrial brewery);2001;http://www.pivovarkacov.cz;https://www.facebook.com/PivovarHubertus;https://goo.gl/7ipcem;;Hubertus;https://flic.kr/s/aHsku9hoC2;N 49°46.61088', E 15°1.76280';49.776848;15.02938;YES;Středočeský kraj;Kutná Hora;Kutná Hora;Kácov
54;Pivovar (Brewery);Hukvaldy;Minipivovar Hukvaldy;Hukvaldy - Dolní Sklenov;Dolní Sklenov 19, Hukvaldy;Czechia;restaurační pivovar (brewpub);2003;http://www.pivovar-hukvaldy.cz;https://www.facebook.com/Minipivovar-Hukvaldy-173650509347200;https://goo.gl/E68Evf;;Hukvaldské;https://www.facebook.com/media/set/?set=a.293553554115026.1073741837.282498931887155&type=1&l=adb5381945;N 49°38.04945', E 18°12.98535';49.6341575;18.2164225;YES;Moravskoslezský kraj;Frýdek-Místek;Frýdek-Místek;Hukvaldy
55;Pivovar (Brewery);Chalupník;Pivovar Chalupník;Perštejn;Husova 47, Perštejn;Czechia;restaurační pivovar (brewpub);2013;http://www.pivochalupnik.cz;https://www.facebook.com/PivoChalupnik;https://goo.gl/8TZSj2;;Bludimíra, Harmonie, Chalupník, Premiant, Sládek;;N 50°23.03100', E 13°6.66200';50.38385;13.1110333;YES;Ústecký kraj;Chomutov;Kadaň;Perštejn
56;Pivovar (Brewery);Chodovar;Rodinný pivovar Chodovar;Chodová Planá;Pivovarská 107, Chodová Planá;Czechia;průmyslový pivovar (industrial brewery);1573;http://www.chodovar.cz;https://www.facebook.com/ChodovarCZ;https://goo.gl/BmyjXx;;Chodovar, Mr. Albi, Pašerák, Prezident, Roller, Skalní;;N 49°53.60833', E 12°43.64480';49.8934722;12.7274133;NO;Plzeňský kraj;Tachov;Tachov;Chodová Planá
57;Pivovar (Brewery);Hostan;Pivovar Hostan;Znojmo;Hradní 87/2, Znojmo;Czechia;uzavřený pivovar (closed brewery);1860 / 2009;http://www.hostan.cz;;https://goo.gl/8FajC1;Vaří se v pivovaru Starobrno;Hostan;;N 48°51.37395', E 16°2.70612';48.8562325;16.0451019;NO;Jihomoravský kraj;Znojmo;Znojmo;Znojmo
58;Pivovar (Brewery);Chotěboř;Pivovar Chotěboř;Chotěboř;Průmyslová 1755, Chotěboř;Czechia;průmyslový pivovar (industrial brewery);2009;http://www.pivovarchotebor.cz;https://www.facebook.com/Pivovar-Chot%C4%9Bbo%C5%99-1627652154140904/;https://goo.gl/uLmjtZ;;Chotěboř, Hamerník, Hrad Karlštejn, Chrudimský ležák, Kostecký Hlt, Kostecký Kat, Patron;;N 49°42.56835', E 15°41.77620';49.7094725;15.69627;YES;Kraj Vysočina;Havlíčkův Brod;Chotěboř;Chotěboř
59;Pivovar (Brewery);Chotoviny;Minipivovar Mayzus Chotoviny;Chotoviny;Na Nádvoří 1, Chotoviny;Czechia;minipivovar (craftbrewery);2012;http://www.pivovarchotoviny.cz;https://www.facebook.com/Pivovar-Mayzus-Chotoviny-301654473285343;https://goo.gl/AQoYPv;;Blátotlačka z Traalu, Columbus, Dr. Rudi, Chernobyl, Chotovinský, Taj Mahal, Vojtíšek;;N 49°28.73827', E 14°40.86570';49.478971;14.681095;NO;Jihočeský kraj;Tábor;Tábor;Chotoviny
60;Pivovar (Brewery);Stará škola;Minipivovar Stará škola;Chudenice;Mírové nám. 42, Chudenice;Czechia;restaurační pivovar (brewpub);2012;http://www.restauracestaraskola.cz;https://www.facebook.com/PivovarARestauraceStaraSkola;https://goo.gl/AQoYPv;;Barbucha, Bolfánecký Poustevník, Bubák, Fantom, Hopkirk, Houwárek, Sukuba;;N 49°28.04377', E 13°10.41138';49.467396;13.173523;NO;Plzeňský kraj;Klatovy;Klatovy;Chudenice
61;Pivovar (Brewery);Žlebské Chvalovice;Kutílkova palírna a pivovar Žlebské Chvalovice;Žlebské Chvalovice;Žlebské Chvalovice 88, Žlebské Chvalovice;Czechia;minipivovar s výčepem (craftbrewery with a bar);2010;http://kutilkovapalirna.cz;https://www.facebook.com/kutilkovapalirna;https://goo.gl/5aWhtr;;Železnohorský;;N 49°53.61053', E 15°33.96492';49.893509;15.566082;YES;Pardubický kraj;Chrudim;Chrudim;Žlebské Chvalovice
62;Pivovar (Brewery);Chýně;Pivovarský dvůr Chýně;Chýně;Hlavní 525, Chýně;Czechia;restaurační pivovar (brewpub);1992;http://www.pivovarskydvur.cz;https://www.facebook.com/pivovarskydvur.cz;https://goo.gl/Wh6D4e;;Ale Mondeo, BuQičák, Černý pes, Dvorní, Gorilák, Chýňský, Kouř, Mlynářská, Safír;;N 50°3.76812', E 14°14.00333';50.062802;14.233389;YES;Středočeský kraj;Praha-západ;Černošice;Chýně
63;Pivovar (Brewery);Vyšší Brod;Minipivovar Vyšší Brod;Vyšší Brod;Kaplická 28, Vyšší Brod;Czechia;minipivovar (craftbrewery);2006;http://www.vysebrodskypivovar.cz;https://www.facebook.com/minipivovar;https://goo.gl/VJx1ST;;Jakub;;N 48°36.96840', E 14°18.76557';48.61614;14.3127594;NO;Jihočeský kraj;Český Krumlov;Český Krumlov;Vyšší Brod
